кольчугами	k ɐ lʲ t͡ɕ u ɡ ə mʲ ɪ
сближает	z b lʲ ɪ ʐ a j ɪ t
зацеплять	z ə t͡s ɨ p lʲ æ tʲ
горячностей	ɡ ɐ rʲ æ t͡ɕ n ə sʲ tʲ ɪ j
доросли	d ə r ɐ s ⁽ʲ ⁾ lʲ i
недоедавший	nʲ ɪ d ə j ɪ d a f ʂ ɨ j
благоустрой	b ɫ ə ɡ ə ʊ s t r o j
именуй	ɪ mʲ ɪ n u j
колледж	k o lʲ ɪ t͡ʂ ʂ
завываете	z ə v ɨ v a j ɪ tʲ e
буханке	b ʊ x a n kʲ e
полонян	p ə ɫ ɐ nʲ a n
прокалывает	p r ɐ k a ɫ ɨ v ə j ɪ t
приписать	p rʲ ɪ pʲ ɪ s a tʲ
тыква	t ɨ k v ə
украшу	ʊ k r a ʂ ʊ
инактивирую	ɪ n ə k tʲ ɪ vʲ i r ʊ j ʊ
отпускавши	ɐ t p ʊ s k a f ʂ ɨ
библиотекарша	bʲ ɪ b lʲ ɪ ɐ tʲ e k ə r ʂ ə
писателями	pʲ ɪ s a tʲ ɪ lʲ ə mʲ ɪ
обтёсывают	ɐ p tʲ ɵ s ɨ v ə j ʊ t
ворвитесь	v ɐ r vʲ i tʲ ɪ sʲ
рабский	r a p s kʲ ɪ j
красавчик	k r ɐ s a f t͡ɕ ɪ k
выправка	v ɨ p r ə f k ə
сгущаюсь	z ɡ ʊ ɕː æ j ʉ sʲ
мораторий	m ə r ɐ t o rʲ ɪ j
сформулировал	s f ə r m ʊ lʲ i r ə v ə ɫ
епархия	j ɪ p a r xʲ ɪ j ə
запричитаешь	z ə p rʲ ɪ t͡ɕ ɪ t a j ɪ ʂ
припоминаешь	p rʲ ɪ p ə mʲ ɪ n a j ɪ ʂ
прозвучишь	p r ə z v ʊ t͡ɕ i ʂ
мироточцами	mʲ ɪ r ɐ t o t͡ɕ t͡s ə mʲ ɪ
тюльпана	tʲ ʉ lʲ p a n ə
комендатуре	k ə mʲ ɪ n d ɐ t u rʲ e
осечётесь	ɐ sʲ ɪ t͡ɕ ɵ tʲ ɪ sʲ
ситами	sʲ i t ə mʲ ɪ
надоедания	n ə d ə j ɪ d a nʲ ɪ j ə
съедутся	s j e d ʊ t͡s ə
затмениях	z ɐ t mʲ e nʲ ɪ j ə x
клирошанам	k lʲ ɪ r ɐ ʂ a n ə m
отработайте	ɐ t r ɐ b o t ə j tʲ e
раздумывал	r ɐ z d u m ɨ v ə ɫ
урезавший	ʊ rʲ e z ə f ʂ ɨ j
промокай	p r ə m ɐ k a j
ласково	ɫ a s k ə v ə
усмехаясь	ʊ s mʲ ɪ x a j ɪ sʲ
мейтнериев	mʲ ɪ j tʲ nʲ e rʲ ɪ j ɪ f
осуждённый	ɐ s ʊ ʐ dʲ ɵ nː ɨ j
употребляли	ʊ p ə t rʲ ɪ b lʲ æ lʲ ɪ
расстраивался	r ɐ sː t r a ɪ v ə ɫ s ⁽ʲ ⁾ ə
разуметь	r ə z ʊ mʲ e tʲ
крылышке	k r ɨ ɫ ɨ ʂ kʲ e
окошечек	ɐ k o ʂ ɨ t͡ɕ ɪ k
буревестника	b ʊ rʲ ɪ vʲ e sʲ nʲ ɪ k ə
бесплодны	bʲ ɪ s p ɫ o d n ɨ
предводителя	p rʲ ɪ d v ɐ dʲ i tʲ ɪ lʲ ə
переиграть	pʲ ɪ rʲ ɪ ɪ ɡ r a tʲ
харь	x a rʲ
тын	t ɨ n
перечтём	pʲ ɪ rʲ ɪ t͡ɕ tʲ ɵ m
наносивший	n ə n ɐ sʲ i f ʂ ɨ j
крошенный	k r o ʂ ɨ nː ɨ j
нелепиц	nʲ ɪ lʲ e pʲ ɪ t͡s
разглядите	r ə z ɡ lʲ ɪ dʲ i tʲ e
обугливала	ɐ b u ɡ lʲ ɪ v ə ɫ ə
оцепеней	ɐ t͡s ɨ pʲ ɪ nʲ e j
столбами	s t ɐ ɫ b a mʲ ɪ
похвалю	p ə x v ɐ lʲ u
нагрузка	n ɐ ɡ r u s k ə
выдёргивай	v ɨ dʲ ɵ r ɡʲ ɪ v ə j
текил	tʲ ɪ kʲ i ɫ
салфеточкам	s ɐ ɫ fʲ e t ə t͡ɕ k ə m
употребляюсь	ʊ p ə t rʲ ɪ b lʲ æ j ʉ sʲ
очаг	ɐ t͡ɕ a k
лизнув	lʲ ɪ z n u f
пристрастимся	p rʲ ɪ s t r ɐ sʲ tʲ i m sʲ ə
разобьёшься	r ə z ɐ b ⁽ʲ ⁾ j ɵ ʂ sʲ ə
фурфуролу	f ʊ r f ʊ r o ɫ ʊ
дождливый	d ɐ ʐ d lʲ i v ɨ j
лагуну	ɫ ɐ ɡ u n ʊ
заблагорассудим	z ə b ɫ ə ɡ ə r ɐ sː u dʲ ɪ m
яду	j a d ʊ
придавливало	p rʲ ɪ d a v lʲ ɪ v ə ɫ ə
поощряв	p ɐ ɐ ɕː rʲ a f
маразмы	m ɐ r a z m ɨ
обрести	ɐ b rʲ ɪ sʲ tʲ i
гудела	ɡ ʊ dʲ e ɫ ə
разработалась	r ə z r ɐ b o t ə ɫ ə sʲ
верующим	vʲ e r ʊ j ʉ ɕː ɪ m
помышляем	p ə m ɨ ʂ lʲ æ j ɪ m
молодят	m ə ɫ ɐ dʲ a t
украдёшь	ʊ k r ɐ dʲ ɵ ʂ
предприемлите	p rʲ ɪ t p rʲ ɪ j e m lʲ ɪ tʲ e
эполетом	ɪ p ɐ lʲ e t ə m
волчку	v ɐ ɫ t͡ɕ k u
дрожанию	d r ɐ ʐ a nʲ ɪ j ʊ
увозов	ʊ v o z ə f
привязь	p rʲ i vʲ ɪ sʲ
пиву	pʲ i v ʊ
поруководи	p ə r ʊ k ə v ɐ dʲ i
поручительством	p ə r ʊ t͡ɕ i tʲ ɪ lʲ s t v ə m
отводилась	ɐ t v ɐ dʲ i ɫ ə sʲ
проговаривалось	p r ə ɡ ɐ v a rʲ ɪ v ə ɫ ə sʲ
тарантулом	t ɐ r a n t ʊ ɫ ə m
кусаем	k ʊ s a j ɪ m
покрученный	p ɐ k r u t͡ɕ ɪ nː ɨ j
инет	ɪ n ɛ t
оподельдока	ɐ p ə d ɨ lʲ d o k ə
стоил	s t o ɪ ɫ
рутиною	r ʊ tʲ i n ə j ʊ
запросят	z ɐ p r o sʲ ə t
исчезавший	ɪ ɕ t͡ɕ ɪ z a f ʂ ɨ j
разрушились	r ɐ z r u ʂ ɨ lʲ ɪ sʲ
копеечкою	k ɐ pʲ e j ɪ t͡ɕ k ə j ʊ
осияваешь	ɐ sʲ i j ɪ v ə j ɪ ʂ
обгрызаем	ɐ b ɡ r ɨ z a j ɪ m
сломила	s ɫ ɐ mʲ i ɫ ə
информационный	ɪ n f ə r m ə t͡s ɨ o nː ɨ j
переделываю	pʲ ɪ rʲ ɪ dʲ e ɫ ɨ v ə j ʊ
кольчугой	k ɐ lʲ t͡ɕ u ɡ ə j
провозя	p r ə v ɐ zʲ a
накапливаем	n ɐ k a p lʲ ɪ v ə j ɪ m
провидцу	p r ɐ vʲ i t͡sː ʊ
коклюш	k ɐ k lʲ u ʂ
обилие	ɐ bʲ i lʲ ɪ j e
оцепляете	ɐ t͡s ɨ pʲ æ j ɪ tʲ e
холмиками	x o ɫ mʲ ɪ k ə mʲ ɪ
новациям	n ɐ v a t͡s ɨ j ə m
снабжал	s n ɐ b ʐ a ɫ
хлебнул	x lʲ ɪ b n u ɫ
разбредалась	r ə z b rʲ ɪ d a ɫ ə sʲ
чернью	t͡ɕ e r nʲ j ʊ
морфий	m o r fʲ ɪ j
заимейте	z ə ɪ mʲ e j tʲ e
перекусят	pʲ ɪ rʲ ɪ k u sʲ ə t
обмерю	ɐ b mʲ e rʲ ʊ
вверяй	vʲː ɪ rʲ æ j
бодрствованиями	b o d r s t v ə v ə nʲ ɪ j ə mʲ ɪ
относим	ɐ t n o sʲ ɪ m
обидами	ɐ bʲ i d ə mʲ ɪ
изучитесь	ɪ z u t͡ɕ ɪ tʲ ɪ sʲ
эрекциею	ɪ r ɛ k t͡s ɨ j ɪ j ʊ
гонялись	ɡ ɐ nʲ æ lʲ ɪ sʲ
бомбардировка	b ə m b ə r dʲ ɪ r o f k ə
выразителям	v ɨ r ɐ zʲ i tʲ ɪ lʲ ə m
свешивайте	s vʲ e ʂ ɨ v ə j tʲ e
дымили	d ɨ mʲ i lʲ ɪ
астероидах	ɐ s t ɨ r o ɪ d ə x
недомыслиям	nʲ ɪ d ɐ m ɨ s ⁽ʲ ⁾ lʲ ɪ j ə m
провозглашай	p r ə v ə z ɡ ɫ ɐ ʂ a j
истязанием	ɪ sʲ tʲ ɪ z a nʲ ɪ j ɪ m
литов	lʲ i t ə f
гидрологиях	ɡʲ ɪ d r ɐ ɫ o ɡʲ ɪ j ə x
работницами	r ɐ b o tʲ nʲ ɪ t͡s ə mʲ ɪ
переубеди	pʲ ɪ rʲ ɪ ʊ bʲ ɪ dʲ i
просрочке	p r ɐ s r o t͡ɕ kʲ e
разочаровываешь	r ə z ə t͡ɕ ɪ r o v ɨ v ə j ɪ ʂ
разозлить	r ə z ə z ⁽ʲ ⁾ lʲ ɪ tʲ
времечке	v rʲ e mʲ ɪ t͡ɕ kʲ e
похищавший	p ə xʲ ɪ ɕː a f ʂ ɨ j
отвыкавший	ɐ t v ɨ k a f ʂ ɨ j
верны	vʲ e r n ɨ
чаячий	t͡ɕ æ j ɪ t͡ɕ ɪ j
прочитываемый	p r ɐ t͡ɕ i t ɨ v ə j ɪ m ɨ j
обозначаемый	ɐ b ə z n ɐ t͡ɕ æ j ɪ m ɨ j
сенокосец	sʲ ɪ n ɐ k o sʲ ɪ t͡s
захлопнитесь	z ɐ x ɫ o p nʲ ɪ tʲ ɪ sʲ
контроллера	k ɐ n t r o lʲː ɪ r ə
перепивав	pʲ ɪ rʲ ɪ pʲ ɪ v a f
потирать	p ə tʲ ɪ r a tʲ
попросись	p ə p r ɐ sʲ i sʲ
проработав	p r ə r ɐ b o t ə f
просвещай	p r ə s vʲ ɪ ɕː æ j
металась	mʲ ɪ t a ɫ ə sʲ
умудрит	ʊ m ʊ d rʲ i t
гидраты	ɡʲ ɪ d r a t ɨ
вотум	v o t ʊ m
разукрашу	r ə z ʊ k r a ʂ ʊ
интеллектами	ɪ nʲ tʲ ɪ lʲ e k t ə mʲ ɪ
костры	k ɐ s t r ɨ
фабрикую	f ə b rʲ ɪ k u j ʊ
пробурчала	p r ə b ʊ r t͡ɕ a ɫ ə
высвободимся	v ɨ s v ə b ə dʲ ɪ m sʲ ə
парейдолиях	p ə rʲ ɪ j d ɐ lʲ i j ə x
ослабеете	ɐ s ɫ ɐ bʲ e j ɪ tʲ e
убийцы	ʊ bʲ i j t͡s ɨ
привстающий	p rʲ ɪ f s t ɐ j ʉ ɕː ɪ j
поджариваем	p ɐ d͡ʐ ʐ a rʲ ɪ v ə j ɪ m
уставившись	ʊ s t a vʲ ɪ f ʂ ɨ sʲ
хлебцем	x lʲ e p t͡s ɨ m
испустить	ɪ s p ʊ sʲ tʲ i tʲ
доносчиками	d ɐ n o ɕ t͡ɕ ɪ k ə mʲ ɪ
гранитный	ɡ r ɐ nʲ i t n ɨ j
пролезла	p r ɐ lʲ e z ɫ ə
трансляциям	t r ɐ n s ⁽ʲ ⁾ lʲ a t͡s ɨ j ə m
жерлах	ʐ ɛ r ɫ ə x
ассемблера	ɐ s ɛ m b lʲ ɪ r ə
совершал	s ə vʲ ɪ r ʂ a ɫ
бровку	b r o f k ʊ
отлучайте	ɐ t ɫ ʊ t͡ɕ æ j tʲ e
черенами	t͡ɕ e rʲ ɪ n ə mʲ ɪ
рулями	r ʊ lʲ æ mʲ ɪ
потираю	p ə tʲ ɪ r a j ʊ
выведется	v ɨ vʲ ɪ dʲ ɪ t͡s ə
брёха	b rʲ ɵ x ə
интерпретированный	ɪ n t ɨ r p rʲ ɪ tʲ i r ə v ə nː ɨ j
заканчивала	z ɐ k a nʲ t͡ɕ ɪ v ə ɫ ə
сомнениями	s ɐ m nʲ e nʲ ɪ j ə mʲ ɪ
содрогавшийся	s ə d r ɐ ɡ a f ʂ ɨ j sʲ ə
растянутся	r ɐ sʲ tʲ a n ʊ t͡s ə
абсорбироваться	ɐ p s ɐ r bʲ i r ə v ə t͡s ə
одиссеями	ɐ dʲ ɪ sʲ e j ə mʲ ɪ
обручавший	ɐ b r ʊ t͡ɕ a f ʂ ɨ j
нашумлю	n ə ʂ ʊ m lʲ u
откатившись	ɐ t k ɐ tʲ i f ʂ ɨ sʲ
гонореи	ɡ ə n ɐ rʲ e ɪ
мобильники	m ɐ bʲ i lʲ nʲ ɪ kʲ ɪ
очертило	ɐ t͡ɕ ɪ r tʲ i ɫ ə
дуэта	d ʊ ɛ t ə
папирусах	p ɐ pʲ i r ʊ s ə x
репортёрах	rʲ ɪ p ɐ r tʲ ɵ r ə x
сплющивавший	s p lʲ ʉ ɕː ɪ v ə f ʂ ɨ j
задёргиваем	z ɐ dʲ ɵ r ɡʲ ɪ v ə j ɪ m
скопирую	s k ɐ pʲ i r ʊ j ʊ
восславляю	v ə sː ɫ ɐ v lʲ æ j ʊ
искушай	ɪ s k ʊ ʂ a j
змиям	z mʲ i j ə m
палантине	p ə ɫ ɐ nʲ tʲ i nʲ e
глотает	ɡ ɫ ɐ t a j ɪ t
списаний	s pʲ ɪ s a nʲ ɪ j
отхватываемый	ɐ t x v a t ɨ v ə j ɪ m ɨ j
осунется	ɐ s u nʲ ɪ t͡s ə
спешил	s pʲ e ʂ ɨ ɫ
оплатим	ɐ p ɫ a tʲ ɪ m
корпусом	k o r p ʊ s ə m
дисквалификациях	dʲ ɪ s k v ə lʲ ɪ fʲ ɪ k a t͡s ɨ j ə x
рыльцам	r ɨ lʲ t͡s ə m
пригубит	p rʲ ɪ ɡ u bʲ ɪ t
прокурору	p r ə k ʊ r o r ʊ
наклеит	n ɐ k lʲ e ɪ t
подчёркивают	p ɐ t͡ɕː ɵ r kʲ ɪ v ə j ʊ t
мистера	mʲ i s t ɨ r ə
рассыплешься	r ɐ sː ɨ p lʲ ɪ ʂ sʲ ə
ошеломлением	ɐ ʂ ɨ ɫ ɐ m lʲ e nʲ ɪ j ɪ m
десерты	dʲ ɪ sʲ e r t ɨ
абстиненты	ɐ p sʲ tʲ ɪ nʲ e n t ɨ
расквитается	r ə s k vʲ ɪ t a j ɪ t͡s ə
мотайтесь	m ɐ t a j tʲ ɪ sʲ
забудусь	z ɐ b u d ʊ sʲ
конденсаторами	k ə n d ɨ n s a t ə r ə mʲ ɪ
кашицы	k a ʂ ɨ t͡s ɨ
уставу	ʊ s t a v ʊ
аншлюсов	a n ʂ lʲ ʊ s ə f
бакинки	b ɐ kʲ i n kʲ ɪ
плошкою	p ɫ o ʂ k ə j ʊ
примадонну	p rʲ ɪ m ɐ d o nː ʊ
купают	k ʊ p a j ʊ t
кровоснабжение	k r ə v ə s n ɐ b ʐ ɛ nʲ ɪ j e
агатом	ɐ ɡ a t ə m
фурункулами	f ʊ r u n k ʊ ɫ ə mʲ ɪ
колыхав	k ə ɫ ɨ x a f
биатлонами	bʲ ɪ ɐ t ɫ o n ə mʲ ɪ
намыливающий	n ɐ m ɨ lʲ ɪ v ə j ʉ ɕː ɪ j
туземцами	t ʊ zʲ e m t͡s ə mʲ ɪ
грузимый	ɡ r ʊ zʲ i m ɨ j
переодевавши	pʲ ɪ rʲ ɪ ə dʲ ɪ v a f ʂ ɨ
озарила	ɐ z ɐ rʲ i ɫ ə
кинолентами	kʲ i n ɐ lʲ e n t ə mʲ ɪ
удалённостями	ʊ d ɐ lʲ ɵ nː ə sʲ tʲ ə mʲ ɪ
защищаетесь	z ə ɕː ɪ ɕː æ j ɪ tʲ ɪ sʲ
мироустройствах	mʲ ɪ r ə ʊ s t r o j s t v ə x
лепетать	lʲ ɪ pʲ ɪ t a tʲ
одышка	ɐ d ɨ ʂ k ə
присылавши	p rʲ ɪ s ɨ ɫ a f ʂ ɨ
долинах	d ɐ lʲ i n ə x
предсказуемостью	p rʲ ɪ t͡s k ɐ z u j ɪ m ə sʲ tʲ j ʊ
лесоэкспорт	lʲ e s ɐ ɛ k s p ə r t
инкубациям	ɪ n k ʊ b a t͡s ɨ j ə m
кустарям	k ʊ s t ɐ rʲ a m
вальцу	v ɐ lʲ t͡s u
болотам	b ɐ ɫ o t ə m
заказчиков	z ɐ k a ɕː ɪ k ə f
иволгою	i v ə ɫ ɡ ə j ʊ
усыновляйте	ʊ s ɨ n ɐ v lʲ æ j tʲ e
имевшись	ɪ mʲ e f ʂ ɨ sʲ
царевна	t͡s ɐ rʲ e v n ə
трудясь	t r ʊ dʲ æ sʲ
деточка	dʲ e t ə t͡ɕ k ə
ответству	ɐ t vʲ e t͡s t v ʊ
плеоназм	p lʲ ɪ ɐ n a z m
унижавший	ʊ nʲ ɪ ʐ a f ʂ ɨ j
взбираетесь	v z bʲ ɪ r a j ɪ tʲ ɪ sʲ
поживавший	p ə ʐ ɨ v a f ʂ ɨ j
пополнять	p ə p ɐ ɫ nʲ æ tʲ
прояснявшийся	p r ə j ɪ sʲ nʲ a f ʂ ɨ j sʲ ə
сигало	sʲ ɪ ɡ a ɫ ə
компрометирующий	k ə m p r ə mʲ ɪ tʲ i r ʊ j ʉ ɕː ɪ j
маскарадам	m ə s k ɐ r a d ə m
эмигранты	ɪ mʲ ɪ ɡ r a n t ɨ
братиною	b r a tʲ ɪ n ə j ʊ
обнадёживать	ɐ b n ɐ dʲ ɵ ʐ ɨ v ə tʲ
коуче	k o ʊ t͡ɕ e
выпустишься	v ɨ p ʊ sʲ tʲ ɪ ʂ sʲ ə
астроблемы	ɐ s t r ɐ b lʲ e m ɨ
стелили	sʲ tʲ ɪ lʲ i lʲ ɪ
древнейший	d rʲ ɪ v nʲ e j ʂ ɨ j
сутулишься	s ʊ t u lʲ ɪ ʂ sʲ ə
разъезжать	r ə z j ɪ ʐː a tʲ
цевках	t͡s ɛ f k ə x
выражен	v ɨ r ə ʐ ɨ n
занято	z a nʲ ɪ t ə
лыком	ɫ ɨ k ə m
зонтами	z ɐ n t a mʲ ɪ
прославляйтесь	p r ə s ɫ ɐ v lʲ æ j tʲ ɪ sʲ
чужеродный	t͡ɕ ʊ ʐ ɨ r o d n ɨ j
трефы	t rʲ e f ɨ
тюфяком	tʲ ʉ fʲ ɪ k o m
дисциплинировала	dʲ ɪ s t͡s ɨ p lʲ ɪ nʲ i r ə v ə ɫ ə
абсорбированиями	ɐ p s ɐ r bʲ i r ə v ə nʲ ɪ j ə mʲ ɪ
выучишься	v ɨ ʊ t͡ɕ ɪ ʂ sʲ ə
расслабленные	r ɐ sː ɫ a b lʲ ɪ nː ɨ j e
зарядный	z ɐ rʲ a d n ɨ j
повторяют	p ə f t ɐ rʲ æ j ʊ t
являвшись	j ɪ v lʲ a f ʂ ɨ sʲ
отмахавши	ɐ t m ɐ x a f ʂ ɨ
взламывавший	v z ɫ a m ɨ v ə f ʂ ɨ j
высокохудожественный	v ɨ s ə k ə x ʊ d o ʐ ɨ s t vʲ ɪ nː ɨ j
обёртках	ɐ bʲ ɵ r t k ə x
бант	b a n t
просветишь	p r ɐ s vʲ e tʲ ɪ ʂ
обречённостью	ɐ b rʲ ɪ t͡ɕ ɵ nː ə sʲ tʲ j ʊ
набивают	n ə bʲ ɪ v a j ʊ t
прапорщик	p r a p ə r ɕː ɪ k
пижму	pʲ i ʐ m ʊ
граммам	ɡ r a m ə m
провозы	p r ɐ v o z ɨ
опечатывали	ɐ pʲ ɪ t͡ɕ a t ɨ v ə lʲ ɪ
соус	s o ʊ s
потёрла	p ɐ tʲ ɵ r ɫ ə
коллапсам	k ɐ ɫ a p s ə m
мастодонты	m ə s t ɐ d o n t ɨ
насупившийся	n ɐ s u pʲ ɪ f ʂ ɨ j sʲ ə
грилем	ɡ rʲ i lʲ ɪ m
поварят	p ə v ɐ rʲ a t
неполноту	nʲ ɪ p ə ɫ n ɐ t u
вылечивайте	v ɨ lʲ e t͡ɕ ɪ v ə j tʲ e
окопа	ɐ k o p ə
ветрениц	vʲ e t rʲ ɪ nʲ ɪ t͡s
вставишься	f s t a vʲ ɪ ʂ sʲ ə
приятны	p rʲ ɪ j a t n ɨ
альдегида	ɐ lʲ d ɨ ɡʲ i d ə
мурзиками	m u r zʲ ɪ k ə mʲ ɪ
пожелтеем	p ə ʐ ɨ ɫ tʲ e j ɪ m
перекупаем	pʲ ɪ rʲ ɪ k ʊ p a j ɪ m
кровавил	k r ɐ v a vʲ ɪ ɫ
аблефароном	ɐ b lʲ ɪ f ɐ r o n ə m
извиняли	ɪ z vʲ ɪ nʲ æ lʲ ɪ
врезаешься	v rʲ ɪ z a j ɪ ʂ sʲ ə
децентрализовали	d ɛ t͡s ɨ n t r ə lʲ ɪ z ɐ v a lʲ ɪ
испуган	ɪ s p u ɡ ə n
слёзы	s ⁽ʲ ⁾ lʲ ɵ z ɨ
видеозапись	vʲ i dʲ ɪ o z a pʲ ɪ sʲ
стремянку	s t rʲ ɪ mʲ a n k ʊ
втором	f t ɐ r o m
прилечь	p rʲ ɪ lʲ e t͡ɕ
сочинением	s ə t͡ɕ ɪ nʲ e nʲ ɪ j ɪ m
швартуете	ʂ v ɐ r t u j ɪ tʲ e
разговорчиками	r ə z ɡ ɐ v o r t͡ɕ ɪ k ə mʲ ɪ
абсурдиста	ɐ p s ʊ r dʲ i s t ə
леденела	lʲ ɪ dʲ ɪ nʲ e ɫ ə
даннике	d a nʲː ɪ kʲ e
близнецу	b lʲ ɪ zʲ nʲ ɪ t͡s u
опекунами	ɐ pʲ ɪ k ʊ n a mʲ ɪ
связисте	s vʲ ɪ zʲ i sʲ tʲ e
раскисли	r ɐ s kʲ i s ⁽ʲ ⁾ lʲ ɪ
однообразиям	ɐ d n ɐ ɐ b r a zʲ ɪ j ə m
аблактировке	ɐ b ɫ ə k tʲ ɪ r o f kʲ e
переустроит	pʲ ɪ rʲ ɪ ʊ s t r o ɪ t
эмиграциям	ɪ mʲ ɪ ɡ r a t͡s ɨ j ə m
брезгают	b rʲ e z ɡ ə j ʊ t
блютус	b lʲ ʊ t u s
уединилась	ʊ j ɪ dʲ ɪ nʲ i ɫ ə sʲ
кардане	k ɐ r d a nʲ e
летный	lʲ e t n ɨ j
хламы	x ɫ a m ɨ
погрязают	p ə ɡ rʲ ɪ z a j ʊ t
бляшкам	b lʲ a ʂ k ə m
фельдмаршала	fʲ ɪ lʲ d m a r ʂ ə ɫ ə
музыкою	m u z ɨ k ə j ʊ
кругосветный	k r ʊ ɡ ɐ s vʲ e t n ɨ j
посвистывали	p ɐ s vʲ i s t ɨ v ə lʲ ɪ
дубком	d ʊ p k o m
реквизита	rʲ ɪ k vʲ ɪ zʲ i t ə
биотоксичность	bʲ ɪ ə t ɐ k sʲ i t͡ɕ n ə sʲ tʲ
хаживал	x a ʐ ɨ v ə ɫ
заботивши	z ɐ b o tʲ ɪ f ʂ ɨ
защитим	z ə ɕː ɪ tʲ i m
шатах	ʂ a t ə x
изъянами	ɪ z j a n ə mʲ ɪ
экспериментировавший	ɪ k s pʲ ɪ rʲ ɪ mʲ ɪ nʲ tʲ i r ə v ə f ʂ ɨ j
пиздить	pʲ i zʲ dʲ ɪ tʲ
подушечка	p ɐ d u ʂ ɨ t͡ɕ k ə
трансплантируем	t r ə n s p ɫ ɐ nʲ tʲ i r ʊ j ɪ m
попками	p o p k ə mʲ ɪ
культурностей	k ʊ lʲ t u r n ə sʲ tʲ ɪ j
угрях	ʊ ɡ rʲ a x
алгоритмам	ɐ ɫ ɡ ɐ rʲ i t m ə m
зачёркиваем	z ɐ t͡ɕ ɵ r kʲ ɪ v ə j ɪ m
боронивши	b ə r ɐ nʲ i f ʂ ɨ
суммируешь	s ʊ mʲ i r ʊ j ɪ ʂ
гармоники	ɡ ɐ r m o nʲ ɪ kʲ ɪ
двухлетиями	d v ʊ x lʲ e tʲ ɪ j ə mʲ ɪ
сковород	s k ə v ɐ r o t
сжимав	ʐː ɨ m a f
волнении	v ɐ ɫ nʲ e nʲ ɪ ɪ
засвистим	z ə s vʲ ɪ sʲ tʲ i m
заржаветь	z ɐ r ʐ a vʲ ɪ tʲ
чищенный	t͡ɕ i ɕː ɪ nː ɨ j
апограф	ɐ p o ɡ r ə f
сконфузят	s k ɐ n f u zʲ ə t
унтер	u nʲ tʲ ɪ r
матёрый	m ɐ tʲ ɵ r ɨ j
хаяли	x a j ɪ lʲ ɪ
водрузив	v ə d r ʊ zʲ i f
голье	ɡ ɐ lʲ j e
бабосам	b ɐ b o s ə m
отмерит	ɐ t mʲ e rʲ ɪ t
лётов	lʲ ɵ t ə f
прижигайте	p rʲ ɪ ʐ ɨ ɡ a j tʲ e
расправах	r ɐ s p r a v ə x
сосною	s ɐ s n o j ʊ
хмыкнут	x m ɨ k n ʊ t
умаляемся	ʊ m ɐ lʲ æ j ɪ m sʲ ə
антропологии	ɐ n t r ə p ɐ ɫ o ɡʲ ɪ ɪ
заверещи	z ə vʲ ɪ rʲ ɪ ɕː i
аблаутов	ɐ b ɫ a ʊ t ə f
корыту	k ɐ r ɨ t ʊ
вазочками	v a z ə t͡ɕ k ə mʲ ɪ
разговляются	r ə z ɡ ɐ v lʲ æ j ʊ t͡s ə
привяжу	p rʲ ɪ vʲ ɪ ʐ u
отозваться	ɐ t ɐ z v a t͡sː ə
тору	t o r ʊ
увезённый	ʊ vʲ ɪ zʲ ɵ nː ɨ j
заведованием	z ɐ vʲ e d ə v ə nʲ ɪ j ɪ m
казанах	k ə z ɐ n a x
поженить	p ə ʐ ɨ nʲ i tʲ
усопла	ʊ s o p ɫ ə
завешивайте	z ɐ vʲ e ʂ ɨ v ə j tʲ e
извергший	ɪ z vʲ e r k ʂ ɨ j
благородно	b ɫ ə ɡ ɐ r o d n ə
замере	z ɐ mʲ e rʲ e
втаскивали	f t a s kʲ ɪ v ə lʲ ɪ
готовностью	ɡ ɐ t o v n ə sʲ tʲ j ʊ
слушанию	s ɫ u ʂ ə nʲ ɪ j ʊ
остужав	ɐ s t ʊ ʐ a f
повязанный	p ɐ vʲ a z ə nː ɨ j
епитрахилей	j ɪ pʲ ɪ t r ɐ xʲ i lʲ ɪ j
торопыга	t ə r ɐ p ɨ ɡ ə
пагубах	p a ɡ ʊ b ə x
цензурировавший	t͡s ɨ n z ʊ rʲ i r ə v ə f ʂ ɨ j
проникаются	p r ə nʲ ɪ k a j ʊ t͡s ə
лопари	ɫ o p ə rʲ ɪ
разгневаюсь	r ɐ z ɡ nʲ e v ə j ʉ sʲ
наскребавший	n ə s k rʲ ɪ b a f ʂ ɨ j
сделаешься	zʲ dʲ e ɫ ə j ɪ ʂ sʲ ə
вместишь	v mʲ ɪ sʲ tʲ i ʂ
запрыгать	z ɐ p r ɨ ɡ ə tʲ
замахивались	z ɐ m a xʲ ɪ v ə lʲ ɪ sʲ
остригавшись	ɐ s t rʲ ɪ ɡ a f ʂ ɨ sʲ
согласовываетесь	s ə ɡ ɫ ɐ s o v ɨ v ə j ɪ tʲ ɪ sʲ
обливающийся	ɐ b lʲ ɪ v a j ʉ ɕː ɪ j sʲ ə
погрешите	p ə ɡ rʲ ɪ ʂ ɨ tʲ e
брехлом	b rʲ ɪ x ɫ o m
выдачею	v ɨ d ə t͡ɕ ɪ j ʊ
чекать	t͡ɕ ɪ k a tʲ
должные	d o ɫ ʐ n ɨ j e
пихтами	pʲ i x t ə mʲ ɪ
радиопередач	r a dʲ ɪ o pʲ ɪ rʲ ɪ d a t͡ɕ
формализовавший	f ə r m ə lʲ ɪ z ɐ v a f ʂ ɨ j
обеспечиваю	ɐ bʲ ɪ s pʲ e t͡ɕ ɪ v ə j ʊ
